"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 14 18:11:40 GMT 2024","Tue May 14 18:11:44 GMT 2024","3235","Transflo APIs","Regression","loadsTest","loadsTest","assignSimpleLoad","assignSimpleLoad",""
"passed","Tue May 14 18:11:38 GMT 2024","Tue May 14 18:11:40 GMT 2024","2367","Transflo APIs","Regression","driverRegistrationTest","driverRegistrationTest","registerNewDriver","registerNewDriver",""
