"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 21:28:36 GMT 2024","Tue May 14 21:28:38 GMT 2024","2284","Transflo APIs","Regression","driverRegistrationTest","driverRegistrationTest","registerNewDriver","registerNewDriver",""
"passed","Tue May 14 21:28:38 GMT 2024","Tue May 14 21:28:42 GMT 2024","3073","Transflo APIs","Regression","loadsTest","loadsTest","assignSimpleLoad","assignSimpleLoad",""
