"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 19:17:10 GMT 2024","Tue May 14 19:17:13 GMT 2024","2424","Transflo APIs","Regression","driverRegistrationTest","driverRegistrationTest","registerNewDriver","registerNewDriver",""
"failed","Tue May 14 19:17:13 GMT 2024","Tue May 14 19:17:16 GMT 2024","3304","Transflo APIs","Regression","loadsTest","loadsTest","assignSimpleLoad","assignSimpleLoad",""
