"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 18:00:29 GMT 2024","Tue May 14 18:00:31 GMT 2024","2203","Transflo APIs","Regression","driverRegistrationTest","driverRegistrationTest","registerNewDriver","registerNewDriver",""
"passed","Tue May 14 18:00:31 GMT 2024","Tue May 14 18:00:34 GMT 2024","3166","Transflo APIs","Regression","loadsTest","loadsTest","assignSimpleLoad","assignSimpleLoad",""
